ScreenName,Time,Date,TimeZone,Tweet,InReplyToUserID,FavoriteCount,RetweetCount,SentimentAverage
@BernieSanders,13:25:05,06/07/16,UTC,"New Mexico – your polls are open until 7 PM. Go out and vote for REAL CHANGE, not the same old, same old establishment politics. #PrimaryDay",None,3832,2048,0.0
@BernieSanders,12:34:53,06/07/16,UTC,"South Dakota and New Jersey – your polls are open. Show the country that it is too late for establishment politics. Please go vote.",None,6065,3354,0.0
@BernieSanders,02:09:08,06/07/16,UTC,"California – you vote tomorrow, June 7. Questions or issues? Call or email our hotline. https://t.co/imRyCL6lF6",None,7577,5784,0.0
@BernieSanders,01:04:02,06/07/16,UTC,"CA, MT, NJ, NM, SD and ND: are you ready to vote tomorrow? Find your voting location: https://t.co/QvV30FsiaA",None,4547,3308,0.0
@BernieSanders,00:03:34,06/07/16,UTC,"I am running for president because it is too late for establishment politics and too late for establishment economics. We need real change.",None,9958,4076,0.0
@BernieSanders,21:56:02,06/06/16,UTC,"Ready for a political revolution? Get out and vote tomorrow! Text VOTE to 82623 for voting information. https://t.co/0nUN8V97fV",None,5245,3543,0.0
@BernieSanders,20:23:05,06/06/16,UTC,"We must recreate our criminal justice system, but we cannot do that as long as corporations are allowed to profit from mass incarceration.",None,3922,1949,0.0
@BernieSanders,20:17:57,06/06/16,UTC,"RT @SymoneDSanders: LIVE on #Periscope: Community Conversation with Dr West and Danny Glover https://t.co/2wJwI59cPP",None,0,507,0.0
@BernieSanders,18:54:05,06/06/16,UTC,"We need bold change in our criminal justice system. A good first step forward is to start treating prisoners as human beings.",None,3280,1242,0.0
@BernieSanders,17:23:05,06/06/16,UTC,"Ramadan Mubarak to all our Muslim sisters and brothers.",None,11902,7180,0.0
@BernieSanders,15:58:35,06/06/16,UTC,"With so much violence already in the world, I just don't think the state itself should be killing people. I'm against capital punishment.",None,5772,2064,0.0
@BernieSanders,13:51:22,06/06/16,UTC,"California, Montana, New Jersey, New Mexico, South Dakota and North Dakota – you vote tomorrow, June 7. Make a plan: https://t.co/ZaoGzRsqPk",None,3127,2457,0.0
@BernieSanders,13:40:36,06/06/16,UTC,"RT @brooklynyarn: We've just been added to this event on June 6th in San Francisco! @BernieSanders, @davematthewsbnd &amp; more! https://t.co/O…",None,0,210,0.0
@BernieSanders,03:03:05,06/06/16,UTC,"Raids are not the answer. We cannot continue to employ inhumane tactics involving rounding up and deporting thousands of immigrant families.",None,4551,1846,0.0
@BernieSanders,01:47:02,06/06/16,UTC,"It's irresponsible that my opponent justifies sending children back to terribly violent countries as a way to "send a message."",None,6693,3121,0.0
@BernieSanders,00:39:04,06/06/16,UTC,"It is more important to rebuild the Flint water system and our school system than to give tax breaks to profitable corporations.",None,5499,2291,0.0
@BernieSanders,23:25:03,06/05/16,UTC,"If you care about clean water in Flint, how can you turn around and support fracking? We need to put an end to fracking across our country.",None,6577,2777,0.0
